k,computation_time,execution_time,energy,experiment_round
1,0.157,19.912,355.9,1
5,0.158,11.059,138.022,1
10,0.432,10.386,154.379,1
20,4.03,9.055,154.188,1
30,18.766,8.293,150.008,1
--------------,--------------,--------------,--------------,--------------
1,0.134,15.167,241.421,2
5,0.149,11.235,166.565,2
10,0.406,8.68,119.168,2
20,3.936,8.68,119.168,2
30,18.818,7.729,146.449,2
--------------,--------------,--------------,--------------,--------------
1,0.121,11.764,188.064,3
5,0.135,8.999,131.945,3
10,0.376,8.12,126.682,3
20,3.771,7.957,114.284,3
30,18.588,7.861,107.175,3
--------------,--------------,--------------,--------------,--------------
1,0.127,14.53,244.365,4
5,0.14,10.614,176.611,4
10,0.377,8.516,105.426,4
20,3.752,7.865,133.975,4
30,18.485,7.865,133.975,4
--------------,--------------,--------------,--------------,--------------
1,0.125,11.501,195.379,5
5,0.142,9.238,121.04,5
10,0.394,9.236,120.755,5
20,3.964,8.559,123.263,5
30,18.549,8.268,149.872,5
--------------,--------------,--------------,--------------,--------------
1,0.126,12.351,163.391,6
5,0.143,9.877,109.096,6
10,0.395,8.386,54.214,6
20,3.981,7.704,80.238,6
30,18.689,7.449,90.087,6
--------------,--------------,--------------,--------------,--------------
1,0.14,19.561,374.574,7
5,0.149,9.844,134.856,7
10,0.415,9.107,78.81,7
20,4.079,8.081,96.538,7
30,18.986,7.65,97.266,7
--------------,--------------,--------------,--------------,--------------
1,0.125,11.301,212.932,8
5,0.141,8.632,117.626,8
10,0.401,8.429,107.949,8
20,3.982,8.429,107.949,8
30,18.795,7.644,87.994,8
--------------,--------------,--------------,--------------,--------------
1,0.132,11.228,100.419,9
5,0.149,8.629,69.39,9
10,0.409,7.628,77.392,9
20,4.044,7.161,120.693,9
30,19.006,7.161,120.693,9
--------------,--------------,--------------,--------------,--------------
1,0.133,16.929,248.253,10
5,0.143,9.235,81.186,10
10,0.392,8.388,63.894,10
20,3.898,7.65,94.667,10
30,18.639,7.217,94.056,10
